event_type,scan_code,name,time
down,18,e,1770221292.92835
up,18,e,1770221292.9892118
down,47,v,1770221293.027058
up,47,v,1770221293.109394
down,18,e,1770221293.1559515
up,18,e,1770221293.226791
down,19,r,1770221293.3543239
up,19,r,1770221293.443402
down,57,space,1770221293.460932
up,57,space,1770221293.5232909
down,23,i,1770221293.5900018
up,23,i,1770221293.671852
down,49,n,1770221293.6932075
up,49,n,1770221293.7568214
down,46,c,1770221293.7938585
up,46,c,1770221293.9053671
down,19,r,1770221294.0560257
up,19,r,1770221294.1442428
down,18,e,1770221294.217343
up,18,e,1770221294.2805765
down,30,a,1770221294.4312673
up,30,a,1770221294.5461853
down,31,s,1770221294.5598752
up,31,s,1770221294.7040174
down,18,e,1770221294.7917688
up,18,e,1770221294.9059281
down,57,space,1770221294.9246626
up,57,space,1770221294.995318
down,48,b,1770221295.0924485
up,48,b,1770221295.1719754
down,18,e,1770221295.19535
up,18,e,1770221295.267326
down,34,g,1770221295.5773354
down,23,i,1770221295.6754503
up,34,g,1770221295.6985521
up,23,i,1770221295.7797685
down,49,n,1770221295.8296325
up,49,n,1770221295.8800128
down,57,space,1770221295.979901
up,57,space,1770221296.029867
down,38,l,1770221296.1418843
up,38,l,1770221296.2102256
down,24,o,1770221296.2884674
up,24,o,1770221296.3476455
down,49,n,1770221296.3934581
up,49,n,1770221296.4463003
down,34,g,1770221296.4799268
up,34,g,1770221296.5764956
down,57,space,1770221296.5962029
up,57,space,1770221296.665055
down,25,p,1770221296.7778466
up,25,p,1770221296.84717
down,30,a,1770221296.8771307
up,30,a,1770221296.9515758
down,19,r,1770221297.1113548
up,19,r,1770221297.2062433
down,20,t,1770221297.3161693
up,20,t,1770221297.381554
down,57,space,1770221297.3984253
up,57,space,1770221297.4818873
down,31,s,1770221297.5827472
up,31,s,1770221297.679757
down,50,m,1770221297.8290415
up,50,m,1770221297.945205
down,30,a,1770221298.2013829
up,30,a,1770221298.2959917
down,38,l,1770221298.3524091
up,38,l,1770221298.4246402
down,38,l,1770221298.5007095
up,38,l,1770221298.5591934
down,57,space,1770221298.756477
up,57,space,1770221298.8233075
down,50,m,1770221298.9372535
up,50,m,1770221298.999885
down,22,u,1770221299.131639
up,22,u,1770221299.2106798
down,46,c,1770221299.504211
up,46,c,1770221299.579968
down,35,h,1770221299.600152
up,35,h,1770221299.687924
down,57,space,1770221299.899573
up,57,space,1770221299.9769146
down,20,t,1770221300.297891
up,20,t,1770221300.401007
down,18,e,1770221300.6227102
up,18,e,1770221300.7354157
down,38,l,1770221300.7585213
up,38,l,1770221300.8312304
down,38,l,1770221301.226993
up,38,l,1770221301.2949126
down,57,space,1770221301.4314468
up,57,space,1770221301.5357726
down,30,a,1770221301.6113234
up,30,a,1770221301.7031808
down,20,t,1770221301.887299
down,57,space,1770221302.0053878
up,20,t,1770221302.011597
up,57,space,1770221302.064414
down,48,b,1770221302.160474
up,48,b,1770221302.2362034
down,18,e,1770221302.2362034
up,18,e,1770221302.2878923
down,33,f,1770221302.4068139
down,24,o,1770221302.5020306
up,33,f,1770221302.50326
up,24,o,1770221302.5536664
down,19,r,1770221302.6039057
up,19,r,1770221302.6699882
down,18,e,1770221302.7620182
down,57,space,1770221302.8214445
up,18,e,1770221302.8362718
up,57,space,1770221302.9038258
down,31,s,1770221302.9754448
down,35,h,1770221303.0197685
up,31,s,1770221303.041826
up,35,h,1770221303.0876157
down,24,o,1770221303.2012858
up,24,o,1770221303.2757769
down,17,w,1770221303.3124382
up,17,w,1770221303.3551583
down,57,space,1770221303.4039114
up,57,space,1770221303.4710574
down,50,m,1770221303.5830786
up,50,m,1770221303.6516788
down,24,o,1770221303.7119796
up,24,o,1770221303.7885432
down,47,v,1770221303.8187356
up,47,v,1770221303.9141364
down,18,e,1770221303.9673
up,18,e,1770221304.0381858
down,57,space,1770221304.128138
up,57,space,1770221304.204935
down,17,w,1770221304.5949183
up,17,w,1770221304.6393116
down,24,o,1770221304.682244
up,24,o,1770221304.776453
down,33,f,1770221304.958039
up,33,f,1770221305.0896163
down,38,l,1770221305.1386383
up,38,l,1770221305.2333426
down,57,space,1770221305.5611508
up,57,space,1770221305.6233268
down,14,backspace,1770221305.8801517
up,14,backspace,1770221305.9427507
down,32,d,1770221306.1684816
up,32,d,1770221306.2569785
down,57,space,1770221306.3718586
up,57,space,1770221306.4878335
down,33,f,1770221306.4897559
up,33,f,1770221306.5746975
down,30,a,1770221306.7247753
up,30,a,1770221306.8245788
down,46,c,1770221306.9714081
up,46,c,1770221307.074979
down,57,space,1770221307.355939
up,57,space,1770221307.4588723
down,35,h,1770221308.2070823
up,35,h,1770221308.2866282
down,23,i,1770221308.429885
up,23,i,1770221308.4943376
down,34,g,1770221308.5487819
up,34,g,1770221308.5931356
down,35,h,1770221308.6611018
up,35,h,1770221308.7399576
down,57,space,1770221309.0110354
up,57,space,1770221309.0975432
down,49,n,1770221309.186166
up,49,n,1770221309.2738876
down,18,e,1770221309.3109605
up,18,e,1770221309.4075646
down,47,v,1770221309.4659019
up,47,v,1770221309.545154
down,18,e,1770221309.545154
up,18,e,1770221309.629523
down,19,r,1770221309.7058327
down,57,space,1770221309.7898593
up,19,r,1770221309.8080914
up,57,space,1770221309.844257
down,24,o,1770221309.9478981
up,24,o,1770221310.0268545
down,33,f,1770221310.057979
up,33,f,1770221310.1458967
down,57,space,1770221310.4398587
up,57,space,1770221310.5294116
down,20,t,1770221310.7048576
up,20,t,1770221310.811452
down,24,o,1770221310.8305619
